ID,RA,DEC,MAX,MIN,RES,FWHM_r,u_auto,J0378_auto,J0395_auto,J0410_auto,J0430_auto,g_auto,J0515_auto,r_auto,J0660_auto,i_auto,J0861_auto,z_auto,e_u_auto,e_J0378_auto,e_J0395_auto,e_J0410_auto,e_J0430_auto,e_g_auto,e_J0515_auto,e_r_auto,e_J0660_auto,e_i_auto,e_J0861_auto,e_z_auto,zml
iDR3.STRIPE82-0001.000433,0.4699941492567335,-1.400680739278803,0.343402717464465,-0.7600111067295074,0.4166083892650424,7.8957105,99.0,99.0,99.0,99.0,99.0,20.96626,99.0,19.169905,19.53953,18.75757,18.091915,18.114244,21.796268,21.604252,20.816168,20.93838,21.236393,0.3536315,21.004622,0.0702894,0.10752621,0.072005786,0.08917863,0.07689892,0.4155
iDR3.STRIPE82-0001.000789,0.685663672363507,-1.389904935425997,0.3012246514492782,-0.1692552301747042,0.1319694212745739,6.6172566,20.308498,20.24356,20.377184,20.068565,20.087105,19.909002,19.752478,19.372131,19.490108,19.265686,18.560959,18.84969,0.17097665,0.20025022,0.35387778,0.25350568,0.24698615,0.115379736,0.23362018,0.0715493,0.08711397,0.097345345,0.116329655,0.12805277,0.2875
iDR3.STRIPE82-0001.000984,0.6673223625822773,-1.385016369580884,0.3326699344894163,-0.149896531654188,0.1827734028352283,9.02521,25.308895,22.140638,21.075386,25.228054,21.332987,20.64091,20.48102,19.654785,19.83602,19.248528,18.985065,18.932812,8.097671,0.550955,0.32720459,13.978785,0.37561864,0.11092848,0.22296833,0.046639565,0.05998489,0.04763872,0.084344134,0.06758481,0.2735
iDR3.STRIPE82-0001.001151,359.4465935053455,-1.3813504948671618,1.0143067954871394,-1.270683616399765,0.2563768209126256,9.571832,21.602036,21.805521,23.407282,21.015516,20.42792,20.715149,20.73395,19.844625,19.766426,19.558374,19.431095,19.382496,0.42185342,0.6327465,4.3218956,0.45373476,0.2544029,0.18143743,0.43134162,0.084471524,0.08622086,0.097361706,0.1946958,0.15749587,0.3435
iDR3.STRIPE82-0001.001298,0.5282577512686748,-1.378169671232661,0.3223047159087197,-0.2098528595364068,0.1124518563723128,6.6532,22.313402,99.0,21.57802,23.10247,21.076422,21.702597,20.535433,19.797974,19.537489,19.47279,18.8615,18.946945,0.84881425,21.604252,0.8446279,3.180608,0.47416928,0.46118936,0.3712693,0.08330315,0.07221025,0.09222673,0.12000831,0.10957146,0.4125
iDR3.STRIPE82-0001.001323,359.3725393603361,-1.377537040650716,1.0011484675002482,-1.1486516353694736,0.1475031678692253,6.0979195,20.500847,20.817568,20.078728,20.595663,20.54364,20.379278,19.831379,19.435757,19.740425,19.356247,18.865368,19.405727,0.1887389,0.31304827,0.24978974,0.38323072,0.35006404,0.16536821,0.23463628,0.07216052,0.10399685,0.100226775,0.14326137,0.19875519,0.2565
iDR3.STRIPE82-0001.001650,359.8526829308204,-1.3714884699593295,0.2362510284753783,-0.1141534858329407,0.1220975426424376,8.65538,21.29415,21.34633,20.977848,20.58361,20.125479,19.71044,19.432781,18.681993,18.678278,18.345882,18.085415,17.88817,0.5865125,0.76714945,0.85747385,0.5479913,0.3448597,0.12942289,0.23492269,0.053034224,0.05785476,0.05786569,0.1029922,0.072716355,0.16
iDR3.STRIPE82-0001.001884,359.37993770815746,-1.364889335656809,1.0007153600116483,-1.2863720165343966,0.2856566565227483,5.4411173,99.0,22.915995,21.959414,20.435715,99.0,20.354507,20.437733,19.329172,19.049435,18.751196,18.44149,18.537872,21.796268,2.476135,1.6112361,0.38128957,21.236393,0.18601039,0.4697924,0.07521326,0.063975655,0.06646312,0.111997746,0.10339278,0.2465
iDR3.STRIPE82-0001.001974,0.2374562299043295,-1.3707226778659642,0.2426990911036659,-0.0761474362650347,0.1665516548386312,26.129396,19.168425,18.993656,18.889296,18.287348,18.29295,18.27052,18.015202,17.936424,17.834978,17.58911,17.936619,17.359787,0.18907222,0.2007319,0.28592384,0.15248033,0.14681639,0.07886178,0.14616653,0.06039982,0.060182802,0.06541153,0.20441398,0.10193415,0.0305
iDR3.STRIPE82-0001.002362,0.2314627721574696,-1.3548431525704516,0.2425221249133278,-0.0759550324716997,0.166567092441628,14.314643,19.916403,20.067158,19.469965,19.362371,19.162617,19.143114,18.98307,18.876244,18.694084,18.598898,18.550774,18.446377,0.14543185,0.20733258,0.18826985,0.15806411,0.12632467,0.06828964,0.1376318,0.055579573,0.05166424,0.06383376,0.13820864,0.10626424,0.06
iDR3.STRIPE82-0001.002378,0.2177871818654652,-1.3547368229687513,0.2230902325882755,-0.1046089656197663,0.1184812669685092,7.476226,20.321304,21.435879,20.454247,21.059145,20.017458,19.39423,19.089989,18.698606,18.538279,18.129631,17.933552,18.014774,0.1801114,0.6205369,0.3956002,0.637639,0.23551817,0.073609225,0.13018017,0.04079779,0.038805738,0.035866305,0.0675188,0.061308708,0.1725
iDR3.STRIPE82-0001.002639,0.6051532725440262,-1.353620895475594,0.2710169518562288,-0.1601508606582065,0.1108660911980222,6.197374,23.977688,21.047384,21.999523,22.26423,99.0,21.351107,99.0,19.422606,19.218344,18.72268,18.368137,18.4054,4.6323457,0.39139915,1.4691501,1.759015,21.236393,0.3990593,21.004622,0.06997155,0.06378246,0.055360634,0.09092312,0.07940289,0.4195
